Property_Type,ENERGY_STAR_Score,SiteEUI,SourceEUI,GHG_Emissions,GHG_Emissions_Intensity,Weather_Site_EUI,Weather_Source_EUI,Floor_Area
,,,,,,,,78630
Hotel,32,75,133.8,799.7,4.7,74.2,131.4,201339
,,,,,,,,18271
Mixed Use Property,,6.5,20.5,4,0.5,6.5,20.5,11274
Hotel,21,150.3,261.9,2854.5,10.5,149.7,260,271387
Office,87,54.4,149.7,1273.1,4.1,54.4,149.7,306883
Office,94,72.5,165,904.2,5.1,73.1,165.7,178720
,,,,,,,,13276
Office,97,26,80.2,84.9,2.1,26,80.2,40424
,,,,,,,,28584
,,,,,,,,11500
,,,,,,,,33668
,,,,,,,,64225
Hotel,90,123.4,172.9,139.8,7.1,125.6,174.7,19570
Office,32,136.2,184.4,194.1,7.8,136.2,184.4,24888
,,,,,,,,11752
Supermarket/Grocery Store,,262.8,711.9,735.8,19.9,263.5,712.6,72000
,,,,,,,,20000
,,,,,,,,11469
,,,,,,,,36518
Hotel,4,71.6,134.4,173.4,4.6,74.5,137.5,37630
Other - Education,,13.6,42.7,15.5,1.1,13.6,42.7,14000
Office,100,15.8,36,79.9,1.1,,,72330
Office,,50.7,131.7,175.9,3.8,51.3,132.3,46759
Worship Facility,98,10.9,19.9,18.5,0.7,11.7,20.7,26554
Office,,92.9,192.3,154.1,6.2,92.3,186.6,24757
,,,,,,,,15000
Museum,,25.3,69.4,31.4,1.9,25.3,68.2,16310
,,,,,,,,29440
Other,,38.9,119.8,161.1,3.1,38.6,118.3,51276
Supermarket/Grocery Store,,162,420.4,246,12,162,420.4,28484
Office,24,128.1,260.6,392,8.5,128.1,260.6,78024
,,,,,,,,15878
Office,90,38.3,115.5,120.1,3.1,38.6,115.8,39261
Office,85,102.2,137.7,194.6,5.8,104.5,140.1,33317
,,,,,,,,66397
Hotel,92,71.6,125.5,251.1,4.5,73,126.9,95971
,,,,,,,,12846
Medical Office,37,56.2,156.4,64.6,4.3,56.7,156.9,15000
,,,,,,,,9630
,,,,,,,,111082
,,,,,,,,113334
,,,,,,,,19384
Hotel,91,65.2,115.7,122.8,4.1,67.5,118.1,29920
Office,26,79,170.2,370.2,5.4,79,170.2,68783
,,,,,,,,90000
Retail Store,,11.2,35,14.4,0.9,11.2,35,15856
,,,,,,,,49011
Office,42,72.7,183.7,361.6,5.6,74,185.2,64800
,,,,,,,,15794
Office,98,20.3,63.6,31,1.7,20.3,63.6,18763
,,,,,,,,70320
,,,,,,,,38697
Hotel,25,114.3,208.3,194,7.3,114.3,208.3,39504
,,,,,,,,27716
Office,84,52.1,135.9,1415,3.9,53.1,136,374979
,,,,,,,,72234
Office,28,80.1,180.2,121.5,5.6,79.3,178,21857
Office,33,63.4,180.5,122,4.9,63.6,179.7,24800
,,,,,,,,16560
Social/Meeting Hall,,69.1,117.7,509.7,4.3,72.2,121,118969
Retail Store,36,73.2,192.2,84.6,5.5,75,194.1,20500
Retail Store,45,68.1,195.7,230.3,5.3,67.8,194.8,78958
Non-Refrigerated Warehouse,27,8.1,25.5,6.6,0.7,8.1,25.5,10000
,,,,,,,,19695
Hotel,58,74.5,165.7,2161,5.1,74.9,166.2,420000
,,,,,,,,21323
,,,,,,,,16210
,,,,,,,,10281
Supermarket/Grocery Store,12,226.6,535.4,405,16.1,228.2,537.2,25187
,,,,,,,,18839
Office,82,23.2,62.2,26.2,1.7,23.2,62.2,15000
,,,,,,,,14026
Other,,7.3,22.8,42.4,0.6,7.3,22.8,71833
,,,,,,,,34537
Office,60,64,150.8,532.8,4.5,63.4,147.2,117435
Financial Office,95,44.2,109.7,1219.1,3.2,,,380000
K-12 School,99,16.8,29.9,16.9,1.1,18.2,31.6,16000
,,,,,,,,24804
,,,,,,,,11820
,,,,,,,,21287
Office,99,24,59,25.1,1.7,26,61.1,14500
Office,90,49,135.1,390.3,3.7,50,136.1,104344
Office,97,36.6,115.1,812.7,3,36.6,115.1,316366
Office,90,60.7,154.9,970.9,4.5,59.2,153.4,247925
Office,72,36,107.1,39.7,2.9,36,107.1,13917
Museum,,113.4,292.6,1018.4,8.4,111.9,287.7,121481
,,,,,,,,48926
,,,,,,,,22240
Office,86,40.6,109.1,306.2,3.1,41.1,108.7,100000
Office,72,42.7,102.5,291.1,3.2,44.7,104.8,89927
Food Sales,,32.9,101.7,76.5,2.7,32.4,100.3,28761
Retail Store,87,51,160.1,1055.6,4.2,50.4,158.1,253975
Enclosed Mall,,212.2,408.3,334.9,13.8,210.4,402.6,24280
Hotel,12,108.5,197.2,307.7,6.9,108.5,197.2,47619
,,,,,,,,133570
Office,96,39.8,116.5,1241,3.1,39.8,115.7,461795
,,,,,,,,39318
Office,84,47.7,129.7,266,3.6,47.2,128.1,85554
Other,,94,214.3,1703.1,6.6,95.2,215.6,259424
,,,,,,,,61680
Office,30,94.6,213.4,222.7,6.6,97,216,33863
Enclosed Mall,,24.7,69.2,559.3,1.9,24.5,68.3,294475
,,,,,,,,32139
Social/Meeting Hall,,45.2,93.4,81.7,3,45.2,93.4,27000
Other,,37.5,117.7,47.1,3.1,37.5,117.7,33372
Hotel,42,47.1,100.8,70.4,3.2,48,103.7,22000
,,,,,,,,195000
,,,,,,,,188960
Non-Refrigerated Warehouse,68,5.6,17.7,12.6,0.5,5.6,17.7,27440
,,,,,,,,38374
Office,90,52.6,128.6,590.6,3.8,53.4,129.5,155817
Performing Arts,,6.2,17,69.6,0.5,6.2,17,146793
Manufacturing/Industrial Plant,,142.2,249.8,158.6,8.9,146.2,254,17786
Hotel,76,59.5,134.2,844.9,4.1,59.5,134.2,204392
Office,77,39.2,121.3,94.9,3.2,38.5,119,29928
,,,,,,,,23872
,,,,,,,,30964
Office,86,56.6,140.1,1276.6,4.1,59.5,143.1,312620
College/University,,15.8,38.2,45.1,1.2,16.6,39.3,37730
Office,69,87.7,205.7,11956.8,6.6,87.1,203.7,1978104
,,,,,,,,12004
Office,91,57.6,135.6,7535.9,4.1,59.1,137.2,1895166
Other,,149.3,281.6,1084.1,9.6,152.3,283.9,112615
,,,,,,,,90377
,,,,,,,,12465
,,,,,,,,10837
,,,,,,,,560325
Mixed Use Property,,81.3,188.4,694.5,5.7,81.3,188.4,121408
,,,,,,,,63500
,,,,,,,,67921
Office,77,58.8,127.7,430,4.4,58.8,127.7,98804
Office,47,52.7,160.9,95.2,4.2,52.2,158.7,22490
Retail Store,62,59.1,185.7,1625.1,4.8,58.2,182.8,337000
Office,79,41.4,109.5,56.6,3.1,42.5,110.7,18267
Office,,24.1,38.1,90.8,1.5,25.2,39.3,62476
,,,,,,,,86970
,,,,,,,,23417
Non-Refrigerated Warehouse,69,29.4,86.9,371,2.3,29.9,87.5,162478
Office,95,28.4,89,137.4,2.3,28.4,89,59445
Office,96,46.8,135.7,1922.3,3.7,46.8,134.9,557442
Manufacturing/Industrial Plant,,75.7,215,205.5,5.9,76.9,216.2,35044
Office,89,50.6,132.6,739.7,3.9,51.9,134.2,201531
Hotel,59,89.9,166.3,3286.4,5.9,89.9,166.3,618958
Office,92,30.2,94.9,46.3,2.5,30.2,94.9,18800
Office,98,41.1,110.3,1642.2,3.2,42.1,111.6,589863
,,,,,,,,124968
,,,,,,,,12104
,,,,,,,,136728
Office,84,38.2,93.1,42.9,2.8,38.6,92.5,20796
,,,,,,,,28000
,,,,,,,,30108
Non-Refrigerated Warehouse,,19.8,61.6,30.2,1.6,19.8,61.6,29999
Office,63,34.8,107.1,89.8,2.8,34.3,105.5,33000
,,,,,,,,82731
,,,,,,,,24824
Office,95,40.1,110.3,849.8,3.1,40.8,110.5,270099
Bank Branch,71,55.7,163.3,49.5,4.4,54.7,160,11298
,,,,,,,,18256
Office,76,55,114.3,92.7,3.7,54.6,113.1,25258
,,,,,,,,12751
,,,,,,,,59300
College/University,,76.2,169.7,246.2,5.7,80.1,176.8,43557
,,,,,,,,45749
,,,,,,,,101104
Supermarket/Grocery Store,23,272.3,760.3,390.4,20.9,273.6,761.7,18665
,,,,,,,,16131
Hotel,42,59.5,137,555.9,4.2,59.5,135.1,164650
Hotel,77,73.9,147,519.5,5.2,74.4,146.8,99000
Pre-school/Daycare,,22.6,56.4,19.8,1.6,23.2,57,12077
,,,,,,,,216259
,,,,,,,,29338
Supermarket/Grocery Store,44,279.3,690.2,443.2,20.2,277.3,683.9,21906
Office,65,64.8,172.7,480.5,5,64.8,172.7,95289
Supermarket/Grocery Store,9,227.4,664.2,640.5,17.9,227,660.2,10728
,,,,,,,,240000
Bank Branch,89,34.6,108.5,33.8,2.8,34,106.9,12000
,,,,,,,,10229
,,,,,,,,24419
,,,,,,,,27000
Hotel,1,103.9,157.4,2716,6.4,104.6,158.3,423706
Retail Store,,72.7,228.2,226.9,5.9,72.7,228.2,38294
Office,87,28.8,90.3,212.5,2.3,28.8,90.3,90637
Office,37,67.1,181.6,238.4,5.1,67.1,181.6,46962
Retail Store,,345.7,536.8,422.9,20.7,345.7,536.8,10728
Supermarket/Grocery Store,,152.3,453.7,195,12.1,151.1,449.9,16138
,,,,,,,,24042
,,,,,,,,18906
Office,83,69.6,208.2,4318.3,5.5,69.6,208.2,937770
Other,,286.7,634.9,875.8,19.8,285.7,632,44309
,,,,,,,,23805
,,,,,,,,117542
Retail Store,38,80.9,248.4,1121.1,6.5,79.8,245,172000
,,,,,,,,14198
,,,,,,,,23846
,,,,,,,,22834
Retail Store,69,82.7,250.4,81.7,6.6,82.7,250.4,12342
Retail Store,99,22.4,41.6,30.9,1.4,24.6,43.8,21500
Hotel,50,90.8,185.5,1783.4,6.6,92.1,186,272122
,,,,,,,,28800
Office,91,56.7,137.2,1254.7,4.1,56.7,137.2,327412
Non-Refrigerated Warehouse,97,15.6,37.1,38.8,1.1,17,38.6,34963
,,,,,,,,17727
Hotel,43,93.9,172.9,78.6,6,95.2,174.3,17698
Office,64,77.7,179.2,545.3,5.5,80,181.7,117200
Office,96,49.7,129.5,206.2,3.7,50.3,128.8,55853
Office,100,12.8,37.5,34.4,1,12.9,37.6,34149
,,,,,,,,23260
Office,91,56,146.6,2337.7,4.2,56.3,145.7,611800.5
Office,80,87.6,176.3,865.9,5.8,88.2,176.9,151855
,,,,,,,,14349
,,,,,,,,10388
Hotel,57,64.3,144.8,750.5,4.5,64.7,145.2,168000
Hotel,39,53.1,131.7,446,3.9,53.1,131.7,115722
Office,24,61.1,189.3,62.8,4.9,58.9,182.5,12700
Office,99,28.2,64.9,159.6,2,28.2,64.9,80732
Retail Store,,144.2,320.6,615.5,10,143.3,317.9,61807
Performing Arts,,42.7,124.5,222.2,3.4,43.1,124.9,66282
Strip Mall,,33.7,102.6,39.3,2.7,33.9,102.8,19525
Other,,54.3,132.4,46.9,3.9,55.6,132.6,12000
Office,64,54,162.6,229.6,4.3,54,162.6,64277
Hotel,46,80,146.9,215.1,5.1,79.4,145.1,42120
Financial Office,72,49.5,127,282.6,3.7,49.5,127,75880
,,,,,,,,24408
,,,,,,,,47484
Office,97,36.8,115.4,1804.9,3,36.4,114.3,665148
Retail Store,47,42.6,133.8,61.8,3.5,41.9,131.4,17800
,,,,,,,,166483
Office,,30,64.8,21.5,2,33.7,69.4,10526
Office,87,35.9,90.7,59,4.9,37.6,92.5,12000
Office,72,81.6,206.9,408.6,6,80.3,203,132748
,,,,,,,,10880
,,,,,,,,66700
Other - Services,,13,40.1,14.1,1.1,13.1,40.1,13402
Office,100,17.4,35.8,374.1,1.3,18.7,37.1,293837
Supermarket/Grocery Store,23,254.8,614.2,1171.5,18.2,257.3,613.6,124196
,,,,,,,,91100
,,,,,,,,26450
Office,82,63,175.8,2023.2,4.8,63.6,175.1,578104
Office,65,71.5,173.5,472.9,5.1,71.4,171.5,92061
Office,90,61.6,146.9,1391.6,4.4,62.6,148,332000
Senior Care Community,,47.2,107.3,44.7,3.3,48.8,109,13600
Office,96,38.4,100.7,1561,5.5,39.7,102.1,292653
Urgent Care/Clinic/Other Outpatient,,117.6,294.1,385.4,8.6,116,289.2,45000
Hotel,38,64.5,144.5,113.7,4.5,65.3,147,40328
,,,,,,,,250510
,,,,,,,,17500
,,,,,,,,13224
Hotel,66,66.6,145.1,114.5,4.6,67,147.6,46479
Laboratory,,254.5,538.3,3445.8,17.2,256.3,536.4,200280
Office,35,72.2,156.1,64.5,4.9,76.6,160.7,13081
,,,,,,,,33652
,,,,,,,,29094
Other - Specialty Hospital,88,151.1,312.7,732.7,10.1,152.3,311.4,72400
Refrigerated Warehouse,2,108.3,340,210.3,8.8,108.3,340,23824
,,,,,,,,17155
Office,99,33.4,76.7,339.8,2.5,35.2,78.8,135805
,,,,,,,,23925
Office,,25.8,68.9,80.7,1.9,25.9,68.7,41622
Office,,22.3,56.7,47.2,1.6,23.3,57.8,28840
,,,,,,,,26937
Hotel,67,103.6,226.1,2295.7,7.1,104.4,226.9,443430
,,,,,,,,148429
Office,97,28.9,90.6,99.8,2.4,28.9,90.6,42429
Retail Store,39,52,163.2,168.2,4.2,52,163.2,57690
,,,,,,,,66943
,,,,,,,,70000
Hotel,71,81.2,160.9,3743.6,5.3,81.5,160.2,758635
Office,20,92.4,255.2,150,7.1,93.3,254.4,27750
,,,,,,,,1022782
Office,93,107,288.1,7468,8.1,107.6,288.7,1038496
Mixed Use Property,,10.7,26.3,27.1,0.8,10.7,26.3,35000
,,,,,,,,260588
,,,,,,,,50422
Office,96,52.2,133.6,2903.1,3.8,52.7,133.4,755069
Supermarket/Grocery Store,62,156,489.9,629.7,12.7,156,489.9,49500
,,,,,,,,126250
Office,,32.9,80.8,43,2.4,33.3,81.2,18058
Office,100,-0.4,-1.3,-0.8,0,-0.6,-1.9,22225
,,,,,,,,63250
College/University,,94.6,244.3,515.3,7,94.6,244.3,73666
Office,23,132.1,183.6,137.3,7.6,132.1,183.6,18000
Office,79,44.2,84.1,56,3,44.2,84.1,18425
,,,,,,,,35952
Non-Refrigerated Warehouse,76,9.3,29.3,68.2,0.8,9.3,29.3,89728
Other - Restaurant/Bar,,42.1,95.7,84.9,2.9,42,95.5,28927
Office,91,65.4,176.6,3854.8,4.9,66.6,177.9,1124443
,,,,,,,,94697
Urgent Care/Clinic/Other Outpatient,,80.9,178.7,76.6,5.6,82.1,179.1,13750
Office,65,51.2,134.9,95.6,3.8,51.2,134.9,25000
,,,,,,,,38520
"Personal Services (Health/Beauty, Dry Cleaning, etc.)",,41.4,122.1,44.5,3.3,41.7,122.3,13608
"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,58.5,183.7,74.6,4.8,58.5,183.7,28761
Office,88,42,115.6,67.9,3.2,42,115.6,21206
"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,68,117.4,86.3,4.2,68,117.4,20364
Office,95,27.7,47.6,18,1.7,30.1,50.1,10450
,,,,,,,,15107
Other,,144.8,246.1,606.5,9,146.7,248.1,67608
Fitness Center/Health Club/Gym,,46,124.5,37.7,3.5,46.6,125.1,15429
,,,,,,,,219981
Office,16,103,284.1,498.6,7.9,103.4,282.4,63400
Mixed Use Property,,29.9,62.4,30.2,2,29.8,61.8,15000
Other - Recreation,,29.5,78.5,28.5,2.2,30.2,79.3,12872
,,,,,,,,59189
Office,73,57.7,147.1,231.9,4.2,57.1,145.2,54700
Hotel,39,83.4,159.4,116.8,5.4,84,161.3,21600
Office,92,55.1,113.4,370.8,3.7,57.4,115.8,100691
Social/Meeting Hall,,32.3,59.3,33.5,2.1,32.3,59.3,16284
Office,99,21.5,66.9,85.1,1.7,21.5,66.9,48767
Office,86,75.2,179.7,1217.2,5.4,75.3,178.7,292929
Office,96,48.4,118.8,1965.4,3.5,49.6,120.1,607757
,,,,,,,,19327
Non-Refrigerated Warehouse,18,26.7,56.1,36.4,1.8,27.7,57.1,20200
,,,,,,,,149000
,,,,,,,,20400
,,,,,,,,11370
Social/Meeting Hall,,38.9,78.2,81.4,2.6,41.8,82.6,51656
,,,,,,,,19751
Retail Store,,42.8,134.5,156.6,3.5,42.8,134.5,44823
Retail Store,,34.3,107.8,69.4,2.8,34.3,107.8,24800
Veterinary Office,,108.7,257.6,146.1,7.7,111.4,260.4,18911
Office,80,61.9,113.9,46.2,4,,,11701
Hotel,38,96.1,208.3,1698.4,7,97.8,210.4,243450
,,,,,,,,23760
Office,24,115.2,232.8,286.5,7.6,114.4,230.2,37500
Office,95,42.8,111.8,2624.1,3.3,43.1,111.4,814226
,,,,,,,,746880
,,,,,,,,10572
Office,44,55.2,142.6,54.8,4.1,53.7,138,13418
Non-Refrigerated Warehouse,,13.1,41,21.3,1.1,13.1,41,20000
Automobile Dealership,,56.1,166.8,281.2,4.4,56.5,166.2,63221
,,,,,,,,434556
Urgent Care/Clinic/Other Outpatient,,4.9,8.5,4.4,0.3,5.2,8.9,14500
Office,77,59.1,145.8,604.3,4.4,61.6,148.7,137068
,,,,,,,,24750
Hotel,61,94.1,174,859.3,6,94.9,173.7,142726
,,,,,,,,30000
College/University,,62.3,158.6,414.7,4.6,63.8,160.1,90589
,,,,,,,,30653
,,,,,,,,14400
Mixed Use Property,,41.2,77.3,79.5,2.7,41.8,78,30000
Worship Facility,65,17,35,36.5,1.1,18.4,36.4,32200
,,,,,,,,259277
Office,90,42.3,129.2,1722.6,3.4,42.3,129.2,506544
Office,,145.9,314.8,149.2,9.9,146.3,312.3,15000
Office,66,62.6,193.3,680.5,5.1,62.8,193.5,134554
,,,,,,,,16439
,,,,,,,,19962
,,,,,,,,12198
Office,,41,85,112.3,2.7,43.2,87.3,40858
Office,85,79.7,194.9,465.6,5.7,81.2,195.6,92065
,,,,,,,,10168
,,,,,,,,334405
Office,94,55.1,141.9,1332.5,4.1,55.5,141.8,350084
Office,70,73.6,157.9,325.3,5,76.4,160.8,65000
,,,,,,,,121605
Medical Office,77,55.1,138.1,1077.8,4,56.7,139.7,375257
Retail Store,,57.1,179.3,139.6,4.7,57.1,179.3,30000
,,,,,,,,7600
Office,,54.7,129.6,164.2,3.9,55.4,130.3,42255
,,,,,,,,145351
Refrigerated Warehouse,6,155.6,280.6,178,9.9,155.6,280.6,18060
,,,,,,,,18000
,,,,,,,,127673
Senior Care Community,12,125.3,171.8,338.5,7.2,128.2,174.9,47000
,,,,,,,,26535
Manufacturing/Industrial Plant,,40.7,85.1,69.7,2.7,42.9,87.4,25433
Office,90,32.4,100.7,112.9,2.6,32.5,100.8,42989
Office,,51.6,158.2,69.8,4.2,51.6,158.2,16800
College/University,,34.6,108.5,324.1,2.8,34.6,108.5,115000
Non-Refrigerated Warehouse,1,34,105.8,107.6,2.8,,,39000
Office,85,56.2,85.1,48,3.3,59.9,89,14384
Data Center,1,702.5,958.2,1701.2,40.3,702.5,958.2,42200
Non-Refrigerated Warehouse,70,35.1,91.7,144.4,2.6,36.1,92.7,102612
Hotel,33,100.9,155.8,140.5,6,101.3,157.2,30598
Distribution Center,67,14.7,37.2,37.9,1.1,15.4,37.9,35124
,,,,,,,,23017
,,,,,,,,10101
,,,,,,,,58607
Office,97,22.9,56.2,80.1,1.7,23.8,56.7,48475
,,,,,,,,446640
,,,,,,,,35715
Office,92,47,126,1791,3.7,47.8,126.1,488882
,,,,,,,,26160
,,,,,,,,32667
,,,,,,,,26000
Retail Store,,69.7,218.7,133.6,5.7,68.3,214.5,23520
Office,,62.6,174.4,52.3,4.8,63.7,175.5,10883
,,,,,,,,33000
Worship Facility,96,13.6,30.4,15.6,0.9,13.9,30.7,16570
,,,,,,,,45570
Retail Store,40,66.3,172.6,197.2,4.9,65.8,171.1,40052
Retail Store,,30.4,79.3,46.1,2.3,32.1,81.1,35768
,,,,,,,,30000
Retail Store,88,28,81,102.8,2.2,27.9,79.8,47000
,,,,,,,,15882
Non-Refrigerated Warehouse,1,37.9,113.9,327.7,3,,,11701
Office,98,16.5,42.8,66.7,1.2,16.5,42.8,54500
Distribution Center,66,14.2,42.8,41.4,1.1,14.4,43.1,36480
Office,89,40.6,78.5,115.2,2.6,44.5,82.6,43563
Office,71,49.3,131.3,47.2,3.7,50.6,132.6,12750
,,,,,,,,34500
Office,97,33.3,88.5,253.4,2.5,34.5,89.7,101437
Office,24,97.4,249.2,544.8,7.2,96.9,244.8,75950
Office,91,63.4,155.5,1489.4,4.6,64.7,156.8,333669
Mixed Use Property,,25,55.5,40.1,1.7,25,55.5,23215
Office,34,58.7,182.2,143.6,4.8,57.8,179.5,30190
,,,,,,,,27764
,,,,,,,,12489
Vocational School,,29.6,60.5,69.2,2,29.6,60.5,35072
,,,,,,,,185386
Mixed Use Property,,21.7,59.9,244.1,1.7,22.5,60.8,147250
Distribution Center,79,10.8,30.4,12.7,0.8,11.1,30.3,15227
,,,,,,,,619226
Office,,21.8,66.5,187.8,1.8,21.8,66.5,171562
Hotel,82,29.6,44.9,164.4,1.8,31.5,47,93425
Office,92,48.2,151.5,1437.7,3.9,48.2,151.5,404422
Office,52,33.4,75.9,35.3,2.3,33.8,76.1,15161
,,,,,,,,30360
Office,49,68.3,166.2,216.4,4.9,68.5,165.1,44050
,,,,,,,,16716
Hotel,82,59.3,134.6,2490.2,4.1,60,134.8,602630
Office,81,55.6,111.8,173.6,3.7,57.5,113.9,47169
Non-Refrigerated Warehouse,99,2.1,6.6,27,0.2,2.1,6.6,157094
Office,,23.3,66.8,59.4,1.8,23.3,66.8,32776
Office,99,21.6,56,38.7,1.6,21.3,55.1,24178
Office,75,81.4,194.1,386.9,5.8,82,193.3,66700
Office,85,38.1,117.7,870.7,3.1,38.1,117.7,281400
Restaurant,,250,466.8,278,16.1,250,466.8,17311
Office,100,18.8,54.5,97,1.5,19.2,55,66000
Office,94,41.5,123.3,1452.3,3.3,41.5,123.3,457337
Non-Refrigerated Warehouse,,21.6,66.6,25.1,1.7,21.6,66.6,14400
Hotel,62,55.4,90.4,195,3.4,55.6,91,57634
Other,,6.3,18.5,7.2,0.5,6.3,18.5,14618
Restaurant,,444.3,642.7,403.9,26,444.3,642.7,15537
,,,,,,,,64432
,,,,,,,,11907
,,,,,,,,18900
Office,,10.7,33.6,27.1,0.9,10.7,33.6,34320
Office,92,50.9,141.7,1739.1,3.9,51.4,142.2,445395
